"pid","hid","age","sex","n.samples","wave","reporting.day","n.contact.total","n.loc.group","n.contact.0-4","n.contact.5-19","n.contact.20-39","n.contact.40-64","n.contact.65+"
1,1,31,"F",2,"R1","Tuesday",4,"1",0,0,2,2,0
2,2,49,"F",2,"R1","Tuesday",6,"3",0,0,3,3,0
3,3,63,"F",2,"R1","Tuesday",1,"0",0,0,0,0,1
4,4,57,"M",2,"R1","Tuesday",83,"1",0,80,3,0,0
5,5,51,"M",2,"R1","Wednesday",5,"1",0,0,1,4,0
6,6,22,"F",2,"R1","Wednesday",7,"2",0,0,7,0,0
7,7,22,"F",2,"R1","Wednesday",20,"0",0,0,13,7,0
8,8,25,"M",3,"R1","Thursday",23,"2",0,0,20,3,0
9,9,71,"F",3,"R1","Thursday",2,"1",0,0,0,0,2
10,10,51,"M",1,"R1","Thursday",3,"0",0,0,3,0,0
11,11,78,"M",3,"R1","Thursday",2,"1",0,0,0,1,1
12,12,56,"F",3,"R1","Thursday",7,"4",0,0,2,5,0
13,13,22,"M",1,"R1","Friday",18,"1",0,0,14,4,0
14,14,58,"F",3,"R1","Friday",3,"1",0,0,0,3,0
15,15,29,"F",1,"R1","Friday",6,"1",0,0,4,1,1
16,16,61,"M",2,"R1","Friday",4,"1",0,0,0,1,3
17,17,61,"M",3,"R1","Saturday",4,"1",0,0,1,3,0
18,18,49,"M",2,"R1","Saturday",7,"2",0,2,1,3,1
19,19,NA,"F",1,"R1","Sunday",30,"0",0,0,0,0,30
20,20,48,"M",4,"R1","Sunday",4,"3",0,0,1,3,0
21,21,29,"F",3,"R1","Sunday",9,"1",1,2,3,3,0
22,22,38,"F",3,"R1","Sunday",32,"4",0,2,29,1,0
23,23,49,"F",3,"R1","Monday",8,"1",0,0,5,1,2
24,24,43,"F",2,"R1","Monday",12,"3",1,2,0,9,0
25,25,46,"F",3,"R1","Monday",3,"0",0,0,1,2,0
26,26,21,"F",3,"R1","Monday",3,"2",0,0,2,1,0
27,27,21,"M",3,"R1","Sunday",4,"1",0,1,1,2,0
28,28,30,"F",1,"R1","Sunday",6,"5",0,1,1,4,0
29,29,49,"M",2,"R1","Monday",6,"1",0,1,1,4,0
30,30,47,"F",3,"R1","Monday",7,"2",0,0,2,5,0
31,31,54,"M",2,"R1","Tuesday",4,"1",0,0,1,2,1
32,32,64,"F",3,"R1","Tuesday",17,"2",0,0,0,0,17
33,33,59,"M",3,"R1","Tuesday",6,"3",0,0,1,5,0
34,34,65,"M",2,"R1","Wednesday",2,"1",0,0,0,2,0
35,35,50,"M",1,"R1","Wednesday",16,"0",0,0,4,12,0
36,36,57,"M",3,"R1","Thursday",2,"1",0,0,0,2,0
37,37,37,"F",4,"R1","Thursday",4,"1",0,2,0,2,0
38,38,28,"F",3,"R1","Thursday",0,NA,0,0,0,0,0
39,39,39,"M",4,"R1","Friday",11,"2",1,0,8,2,0
40,40,54,"M",4,"R1","Friday",19,"2",0,0,8,11,0
41,41,44,"F",2,"R1","Friday",18,"2",0,2,1,15,0
42,42,74,"M",2,"R1","Saturday",1,"3",0,0,0,0,1
43,43,56,"F",4,"R1","Saturday",4,"1",0,0,2,2,0
44,44,58,"F",3,"R1","Sunday",2,"0",0,0,1,0,1
45,45,70,"M",4,"R1","Sunday",1,"0",0,0,0,0,1
46,46,19,"M",4,"R1","Sunday",4,"0",0,1,1,2,0
47,47,44,"F",4,"R1","Sunday",63,"1",1,60,0,2,0
48,48,64,"M",1,"R1","Monday",3,"1",0,0,0,2,1
49,49,57,"F",4,"R1","Monday",18,"1",0,0,8,10,0
50,50,48,"F",3,"R1","Monday",8,"2",0,2,0,6,0
51,51,55,"F",4,"R1","Monday",2,"0",0,0,1,1,0
52,52,47,"F",4,"R1","Tuesday",10,"2",0,2,4,3,1
53,53,43,"M",4,"R1","Tuesday",6,"3",0,1,3,2,0
54,54,28,"F",4,"R1","Tuesday",12,"2",0,0,7,4,1
55,55,71,"F",2,"R1","Tuesday",0,NA,0,0,0,0,0
56,56,74,"F",1,"R1","Tuesday",2,"1",0,0,0,1,1
57,57,59,"M",2,"R1","Tuesday",32,"6+",0,13,5,6,8
58,58,23,"M",1,"R1","Tuesday",4,"0",0,0,2,2,0
59,59,41,"M",1,"R1","Tuesday",20,"2",0,1,12,6,1
60,60,67,"M",3,"R1","Wednesday",4,"4",0,1,0,1,2
61,61,26,"F",1,"R1","Wednesday",10,"4",0,0,8,2,0
62,62,39,"F",3,"R1","Wednesday",4,"1",0,1,0,3,0
63,63,61,"M",1,"R1","Wednesday",11,"1",0,9,1,1,0
64,64,22,"F",2,"R1","Thursday",12,"3",0,0,9,3,0
65,65,18,"F",4,"R1","Thursday",5,"3",0,0,2,3,0
66,66,51,"F",4,"R1","Thursday",6,"2",0,0,1,4,1
67,67,77,"M",1,"R1","Thursday",0,NA,0,0,0,0,0
68,68,20,"F",4,"R1","Thursday",3,"0",0,1,0,2,0
69,69,56,"F",3,"R1","Friday",1,"0",0,0,0,1,0
70,70,21,"F",4,"R1","Friday",17,"2",0,4,9,2,2
71,71,58,"M",1,"R1","Friday",7,"3",0,1,5,1,0
72,72,50,"M",4,"R1","Friday",12,"4",0,1,3,8,0
73,73,63,"F",4,"R1","Friday",20,"2",0,0,0,9,11
74,74,52,"F",3,"R1","Saturday",15,"1",0,0,4,11,0
75,75,58,"F",3,"R1","Saturday",19,"3",3,3,7,3,3
76,76,59,"F",4,"R1","Saturday",4,"1",0,0,3,1,0
77,77,77,"M",1,"R1","Saturday",3,"0",0,0,2,1,0
78,78,53,"F",1,"R1","Saturday",3,"1",1,0,0,2,0
79,79,27,"F",4,"R1","Sunday",8,"2",0,0,6,2,0
80,80,53,"F",4,"R1","Sunday",4,"3",0,0,3,1,0
81,81,52,"F",1,"R1","Sunday",3,"2",0,1,1,1,0
82,82,51,"F",4,"R1","Sunday",2,"0",0,0,0,0,2
83,83,63,"F",4,"R1","Sunday",3,"1",0,0,0,1,2
84,84,36,"F",4,"R1","Sunday",4,"1",0,0,2,1,1
85,85,17,"F",3,"R1","Sunday",15,"3",0,7,5,3,0
86,85,44,"F",2,"R1","Sunday",28,"3",0,2,10,13,3
87,85,45,"M",2,"R1","Sunday",32,"2",0,6,15,11,0
88,86,47,"F",1,"R1","Sunday",62,"5",5,7,15,29,6
89,87,54,"F",4,"R1","Sunday",31,"1",0,0,14,14,3
90,88,54,"F",3,"R1","Sunday",3,"1",0,0,2,1,0
91,88,58,"M",4,"R1","Sunday",203,"2",30,20,51,52,50
92,88,22,"F",1,"R1","Sunday",4,"1",0,0,2,2,0
93,89,56,"M",2,"R1","Sunday",7,"1",0,1,1,5,0
94,90,53,"F",1,"R1","Sunday",2,"1",0,0,0,2,0
95,91,61,"F",1,"R1","Sunday",2,"0",0,0,1,1,0
96,92,29,"M",2,"R1","Sunday",2,"1",0,0,1,1,0
97,93,14,"F",2,"R1","Sunday",9,"2",0,1,1,5,2
98,93,16,"M",3,"R1","Sunday",3,"0",0,1,1,1,0
99,93,50,"F",3,"R1","Sunday",3,"1",0,2,0,1,0
100,94,8,"M",2,"R1","Monday",3,"1",0,1,0,2,0
101,94,10,"M",4,"R1","Monday",28,"1",0,26,0,2,0
102,94,47,"F",2,"R1","Monday",3,"0",0,2,0,1,0
103,94,48,"M",3,"R1","Monday",27,"3",0,2,11,13,1
104,95,55,"F",3,"R1","Monday",5,"5",0,0,3,2,0
105,96,26,"M",4,"R1","Monday",22,"1",0,1,9,12,0
106,96,54,"M",3,"R1","Monday",4,"1",0,0,1,3,0
107,96,55,"F",2,"R1","Monday",13,"1",1,0,1,11,0
108,97,50,"F",3,"R1","Monday",27,"1",0,23,2,2,0
109,97,43,"M",1,"R1","Monday",8,"2",0,0,2,6,0
110,98,71,"M",3,"R1","Monday",2,"1",0,0,0,1,1
111,98,72,"F",4,"R1","Monday",8,"4",0,0,1,6,1
112,99,21,"M",2,"R1","Monday",5,"2",0,2,1,2,0
113,99,52,"F",1,"R1","Monday",7,"1",0,1,1,4,1
114,99,53,"M",1,"R1","Monday",33,"1",0,1,11,21,0
115,100,4,"M",1,"R1","Monday",10,"2",1,1,4,4,0
116,100,7,"M",4,"R1","Monday",33,"5",2,12,8,10,1
117,100,36,"F",4,"R1","Monday",13,"5",2,1,1,8,1
118,100,45,"M",4,"R1","Monday",1,"0",1,0,0,0,0
119,100,85,"M",4,"R1","Monday",0,NA,0,0,0,0,0
120,101,51,"F",1,"R1","Monday",8,"5",0,0,1,7,0
121,102,23,"F",2,"R1","Monday",2,"0",0,0,0,2,0
122,102,51,"F",2,"R1","Monday",11,"4",0,0,6,5,0
123,103,17,"F",3,"R1","Monday",14,"3",0,13,0,1,0
124,103,50,"F",3,"R1","Monday",9,"4",0,1,2,6,0
125,104,55,"F",4,"R1","Monday",5,"2",0,0,1,4,0
126,104,56,"M",3,"R1","Monday",7,"1",0,0,6,1,0
127,105,58,"F",1,"R1","Monday",8,"2",0,0,2,5,1
128,106,12,"M",3,"R1","Monday",15,"2",0,10,2,3,0
129,106,15,"F",3,"R1","Monday",10,"3",0,7,1,2,0
130,106,40,"F",3,"R1","Monday",50,"2",20,22,0,8,0
131,106,43,"M",2,"R1","Monday",7,"2",0,2,1,4,0
132,107,59,"F",3,"R1","Monday",29,"3",0,0,3,5,21
133,107,68,"M",4,"R1","Monday",3,"2",0,0,0,3,0
134,108,53,"F",3,"R1","Monday",194,"3",0,65,127,2,0
135,108,54,"M",3,"R1","Monday",8,"2",0,0,5,3,0
136,109,44,"F",4,"R1","Monday",7,"3",0,0,0,7,0
137,109,45,"M",3,"R1","Monday",5,"1",0,0,1,4,0
138,109,50,"F",3,"R1","Monday",19,"5",0,0,2,17,0
139,110,10,"F",1,"R1","Monday",51,"3",0,48,1,2,0
140,110,42,"F",4,"R1","Monday",63,"1",0,51,1,11,0
141,110,49,"M",1,"R1","Monday",43,"1",0,21,11,11,0
142,111,22,"F",1,"R1","Monday",7,"1",0,1,4,2,0
143,111,25,"M",4,"R1","Monday",6,"1",0,1,4,1,0
144,111,51,"F",2,"R1","Monday",155,"1",0,4,31,120,0
145,112,44,"M",3,"R1","Monday",24,"3",0,0,11,11,2
146,112,76,"F",2,"R1","Monday",8,"3",0,0,0,7,1
147,112,84,"M",4,"R1","Monday",2,"0",0,0,0,1,1
148,113,62,"F",3,"R1","Monday",4,"1",0,0,1,3,0
149,114,46,"F",3,"R1","Monday",2,"1",0,1,0,1,0
150,115,26,"F",3,"R1","Monday",15,"5",1,2,9,3,0
151,115,28,"F",2,"R1","Monday",7,"1",0,0,5,2,0
152,116,54,"F",2,"R1","Tuesday",53,"1",0,0,25,27,1
153,117,38,"F",1,"R1","Tuesday",8,"2",0,2,3,2,1
154,117,67,"F",4,"R1","Tuesday",7,"2",0,2,1,1,3
155,118,9,"F",1,"R1","Tuesday",10,"1",0,6,2,2,0
156,118,16,"M",3,"R1","Tuesday",17,"1",0,14,1,2,0
157,118,50,"M",1,"R1","Tuesday",10,"3",0,2,6,2,0
158,118,50,"F",3,"R1","Tuesday",8,"2",0,2,0,6,0
159,119,56,"F",2,"R1","Tuesday",5,"2",0,0,2,3,0
160,120,59,"F",4,"R1","Tuesday",11,"6+",0,0,5,6,0
161,121,28,"F",4,"R1","Tuesday",15,"3",0,1,8,5,1
162,122,52,"F",3,"R1","Tuesday",15,"1",0,0,12,3,0
163,123,18,"M",3,"R1","Tuesday",30,"1",0,27,1,2,0
164,123,22,"F",4,"R1","Tuesday",16,"4",0,0,16,0,0
165,123,50,"M",2,"R1","Tuesday",9,"2",0,1,7,1,0
166,123,50,"F",2,"R1","Tuesday",8,"2",0,1,3,4,0
167,124,40,"F",4,"R1","Tuesday",3,"1",1,0,0,2,0
168,125,20,"F",4,"R1","Tuesday",6,"3",0,0,1,5,0
169,125,52,"F",4,"R1","Tuesday",5,"1",0,0,2,3,0
170,126,73,"F",2,"R1","Tuesday",0,NA,0,0,0,0,0
171,126,81,"M",2,"R1","Tuesday",3,"1",0,0,0,2,1
172,127,57,"F",3,"R1","Tuesday",5,"1",0,0,3,2,0
173,128,68,"F",1,"R1","Tuesday",2,"0",0,0,1,0,1
174,129,24,"M",2,"R1","Tuesday",4,"1",0,0,1,3,0
175,129,52,"F",3,"R1","Tuesday",3,"0",0,0,1,2,0
176,130,26,"M",3,"R1","Tuesday",33,"1",0,0,21,12,0
177,131,57,"M",1,"R1","Tuesday",6,"3",0,0,1,5,0
178,132,24,"F",3,"R1","Tuesday",4,"2",0,0,1,3,0
179,132,54,"F",4,"R1","Tuesday",6,"3",0,0,3,3,0
180,133,10,"F",4,"R1","Tuesday",8,"2",0,6,0,2,0
181,133,42,"F",1,"R1","Tuesday",10,"5",0,2,3,4,1
182,134,55,"F",4,"R1","Tuesday",12,"3",1,0,9,2,0
183,135,61,"F",1,"R1","Tuesday",1,"0",0,0,1,0,0
184,135,31,"M",1,"R1","Tuesday",11,"1",0,0,10,1,0
185,136,NA,"M",2,"R1","Tuesday",18,"2",0,15,1,0,2
186,136,NA,"M",4,"R1","Tuesday",25,"1",20,1,2,0,2
187,136,30,"M",3,"R1","Tuesday",6,"1",1,0,2,1,2
188,136,62,"M",4,"R1","Tuesday",8,"1",1,6,0,1,0
189,137,NA,"M",1,"R1","Wednesday",1,"1",0,0,0,0,1
190,138,77,"M",3,"R1","Wednesday",4,"3",0,0,1,2,1
191,139,16,"M",3,"R1","Wednesday",13,"2",0,11,0,2,0
192,139,58,"M",2,"R1","Wednesday",3,"2",0,2,0,1,0
193,140,51,"F",1,"R1","Wednesday",9,"3",0,0,2,7,0
194,140,52,"M",2,"R1","Wednesday",11,"5",0,0,6,3,2
195,141,27,"F",3,"R1","Wednesday",4,"2",0,0,3,1,0
196,141,29,"M",2,"R1","Wednesday",8,"1",0,0,7,1,0
197,141,58,"F",4,"R1","Wednesday",4,"1",0,0,2,2,0
198,142,64,"M",4,"R1","Wednesday",3,"0",0,2,0,1,0
199,143,18,"F",1,"R1","Wednesday",73,"2",0,10,50,11,2
200,143,49,"F",1,"R1","Wednesday",1,"0",0,1,0,0,0
201,143,53,"M",4,"R1","Wednesday",11,"2",0,0,6,5,0
202,144,65,"F",1,"R1","Wednesday",1,"0",0,0,0,1,0
203,145,27,"F",3,"R1","Wednesday",12,"3",0,0,11,1,0
204,145,61,"F",3,"R1","Wednesday",9,"2",0,0,2,6,1
205,146,13,"M",2,"R1","Wednesday",9,"1",0,7,0,2,0
206,146,16,"M",4,"R1","Wednesday",10,"1",0,8,0,2,0
207,146,44,"F",3,"R1","Wednesday",21,"3",1,2,9,9,0
208,147,62,"F",4,"R1","Wednesday",2,"1",0,0,1,0,1
209,147,63,"M",1,"R1","Wednesday",2,"0",0,0,1,1,0
210,148,30,"F",2,"R1","Wednesday",4,"3",0,0,1,1,2
211,148,52,"F",3,"R1","Wednesday",6,"2",0,0,1,5,0
212,148,65,"M",3,"R1","Wednesday",2,"0",0,0,1,1,0
213,149,70,"F",3,"R1","Wednesday",13,"3",0,0,3,10,0
214,150,36,"F",1,"R1","Wednesday",4,"2",1,0,1,2,0
215,150,43,"M",1,"R1","Wednesday",2,"0",1,0,1,0,0
216,151,25,"F",1,"R1","Wednesday",74,"2",0,0,25,34,15
217,151,56,"F",2,"R1","Wednesday",6,"2",0,0,4,2,0
218,151,59,"M",2,"R1","Wednesday",10,"2",0,0,3,7,0
219,152,77,"M",4,"R1","Wednesday",3,"1",0,0,1,1,1
220,153,62,"F",4,"R1","Wednesday",7,"3",1,3,2,1,0
221,154,63,"M",2,"R1","Thursday",2,"0",0,0,1,1,0
222,155,47,"F",4,"R1","Thursday",7,"1",0,1,0,6,0
223,155,59,"M",1,"R1","Thursday",8,"3",0,1,2,5,0
224,156,37,"F",3,"R1","Thursday",2,"0",0,0,1,1,0
225,156,62,"F",3,"R1","Thursday",5,"1",2,0,2,1,0
226,157,26,"F",3,"R1","Thursday",15,"2",0,0,8,7,0
227,158,27,"F",2,"R1","Thursday",6,"1",0,0,4,2,0
228,158,54,"F",3,"R1","Thursday",6,"4",0,0,3,2,1
229,159,52,"F",1,"R1","Thursday",6,"2",0,0,2,2,2
230,160,46,"F",2,"R1","Thursday",8,"2",0,1,4,3,0
231,161,66,"F",2,"R1","Thursday",17,"3",1,0,7,6,3
232,162,51,"M",1,"R1","Thursday",14,"3",0,0,12,2,0
233,163,48,"F",2,"R1","Thursday",4,"3",0,1,0,3,0
234,164,15,"F",4,"R1","Thursday",4,"1",0,2,1,1,0
235,164,24,"M",1,"R1","Thursday",0,NA,0,0,0,0,0
236,164,55,"F",3,"R1","Thursday",2,"0",0,1,0,1,0
237,165,37,"F",4,"R1","Thursday",5,"1",0,0,1,3,1
238,165,68,"F",1,"R1","Thursday",18,"3",0,0,2,12,4
239,166,23,"F",2,"R1","Thursday",3,"1",0,0,2,1,0
240,166,54,"F",2,"R1","Thursday",5,"2",0,1,1,3,0
241,167,57,"F",3,"R1","Thursday",7,"3",0,0,1,6,0
